WS_Nm2,TW_takeoff,TW_cruise_seaLevel,TW_cruise_altitude,TW_OEI,TW_activeEnvelope,WS_landing_weight_limit,WS_takeoff_axis_landing_limit,betaLanding
5840,0.342098039215686,0.192715741271422,0.0560802807099838,0.285,0.342098039215686,4743.14850807009,5580.17471537658,0.85
5850,0.342683823529412,0.19267009477587,0.0560669975797783,0.285,0.342683823529412,4743.14850807009,5580.17471537658,0.85
5860,0.343269607843137,0.192625088754499,0.0560539008275591,0.285,0.343269607843137,4743.14850807009,5580.17471537658,0.85
5870,0.343855392156863,0.192580719934015,0.0560409895007983,0.285,0.343855392156863,4743.14850807009,5580.17471537658,0.85
5880,0.344441176470588,0.192536985063393,0.0560282626534475,0.285,0.344441176470588,4743.14850807009,5580.17471537658,0.85
5890,0.345026960784314,0.192493880913688,0.0560157193458833,0.285,0.345026960784314,4743.14850807009,5580.17471537658,0.85
5900,0.345612745098039,0.192451404277844,0.0560033586448525,0.285,0.345612745098039,4743.14850807009,5580.17471537658,0.85
5910,0.346198529411765,0.19240955197051,0.0559911796234184,0.285,0.346198529411765,4743.14850807009,5580.17471537658,0.85
5920,0.34678431372549,0.19236832082786,0.0559791813609073,0.285,0.34678431372549,4743.14850807009,5580.17471537658,0.85
5930,0.347370098039216,0.192327707707409,0.055967362942856,0.285,0.347370098039216,4743.14850807009,5580.17471537658,0.85
5940,0.347955882352941,0.192287709487832,0.055955723460959,0.285,0.347955882352941,4743.14850807009,5580.17471537658,0.85
5950,0.348541666666667,0.192248323068788,0.0559442620130173,0.285,0.348541666666667,4743.14850807009,5580.17471537658,0.85
5960,0.349127450980392,0.192209545370745,0.0559329777028869,0.285,0.349127450980392,4743.14850807009,5580.17471537658,0.85
5970,0.349713235294118,0.192171373334803,0.0559218696404278,0.285,0.349713235294118,4743.14850807009,5580.17471537658,0.85
5980,0.350299019607843,0.192133803922524,0.0559109369414545,0.285,0.350299019607843,4743.14850807009,5580.17471537658,0.85
5990,0.350884803921569,0.192096834115759,0.0559001787276858,0.285,0.350884803921569,4743.14850807009,5580.17471537658,0.85
6000,0.351470588235294,0.19206046091648,0.0558895941266957,0.285,0.351470588235294,4743.14850807009,5580.17471537658,0.85
6010,0.35205637254902,0.192024681346614,0.0558791822718646,0.285,0.35205637254902,4743.14850807009,5580.17471537658,0.85
6020,0.352642156862745,0.191989492447874,0.0558689423023312,0.285,0.352642156862745,4743.14850807009,5580.17471537658,0.85
6030,0.353227941176471,0.191954891281597,0.0558588733629448,0.285,0.353227941176471,4743.14850807009,5580.17471537658,0.85
6040,0.353813725490196,0.191920874928584,0.055848974604218,0.285,0.353813725490196,4743.14850807009,5580.17471537658,0.85
6050,0.354399509803922,0.191887440488934,0.0558392451822797,0.285,0.354399509803922,4743.14850807009,5580.17471537658,0.85
