AR,Span_m,RootChord_m,TipChord_m,MAC_m,K,L_over_D,TW_cruise,TW_req,TW_margin,Mroot_MNm,Score
8.42,38.246352268419,6.85633527870193,2.22830896557813,4.93526775249959,0.0444753229263366,17.1779945095416,0.200048155500905,0.292892156862745,0.143765690376569,4.15277104913525,0.489136098986625
8.43,38.2690571396788,6.85226744370801,2.2269869192051,4.93233967882001,0.0444225645361511,17.1852806735768,0.199963339680693,0.292892156862745,0.143765690376569,4.15523633344211,0.489084322149602
8.44,38.2917485482186,6.84820684042182,2.22566722313709,4.92941681060551,0.0443699311658476,17.1925557334276,0.199878724845837,0.292892156862745,0.143765690376569,4.15770015597313,0.489041587217598
8.45,38.314426517958,6.84415344744141,2.22434987041846,4.92649913245075,0.0443174223715685,17.1998197144591,0.199794310282779,0.292892156862745,0.143765690376569,4.16016251932548,0.489007856809972
8.46,38.3370910727457,6.84010724345345,2.22303485412237,4.92358662901413,0.0442650377115548,17.207072641959,0.199710095281335,0.292892156862745,0.143765690376569,4.16262342608865,0.488983093732186
8.47,38.3597422363602,6.83606820723267,2.22172216735062,4.92067928501748,0.0442127767461339,17.2143145411382,0.199626079134677,0.292892156862745,0.143765690376569,4.1650828788445,0.488967260974671
8.48,38.3823800325097,6.83203631764146,2.22041180323347,4.91777708524569,0.0441606390377068,17.2215454371311,0.199542261139308,0.292892156862745,0.143765690376569,4.16754088016724,0.488960321711726
8.49,38.4050044848324,6.82801155362934,2.21910375492954,4.91488001454641,0.0441086241507366,17.2287653549957,0.199458640595048,0.292892156862745,0.143765690376569,4.16999743262351,0.488962239300403
8.5,38.4276156168972,6.82399389423257,2.21779801562559,4.91198805782967,0.0440567316517357,17.2359743197137,0.199375216805009,0.292892156862745,0.143765690376569,4.17245253877239,0.488972977279389
8.51,38.4502134522034,6.81998331857364,2.21649457853643,4.90910120006763,0.0440049611092543,17.2431723561916,0.199291989075581,0.292892156862745,0.143765690376569,4.17490620116545,0.488992499367928
8.52,38.4727980141814,6.81597980586082,2.21519343690477,4.90621942629416,0.0439533120938678,17.2503594892599,0.19920895671641,0.292892156862745,0.143765690376569,4.17735842234674,0.489020769464737
8.53,38.495369326193,6.81198333538773,2.21389458400101,4.90334272160456,0.0439017841781657,17.2575357436744,0.199126119040378,0.292892156862745,0.143765690376569,4.17980920485287,0.489057751646909
8.54,38.5179274115314,6.80799388653288,2.21259801312319,4.90047107115527,0.0438503769367393,17.2647011441156,0.199043475363589,0.292892156862745,0.143765690376569,4.18225855121301,0.489103410168865
8.55,38.5404722934216,6.8040114387592,2.21130371759674,4.89760446016346,0.04379908994617,17.2718557151896,0.198961025005341,0.292892156862745,0.143765690376569,4.18470646394892,0.489157709461267
8.56,38.5630039950209,6.80003597161364,2.21001169077443,4.8947428739068,0.043747922785018,17.2789994814284,0.198878767288117,0.292892156862745,0.143765690376569,4.18715294557501,0.489220614129989
8.57,38.5855225394188,6.79606746472669,2.20872192603617,4.89188629772308,0.0436968750338102,17.2861324672894,0.198796701537562,0.292892156862745,0.143765690376569,4.18959799859831,0.489292088955035
8.58,38.6080279496376,6.79210589781196,2.20743441678889,4.88903471700993,0.0436459462750296,17.2932546971568,0.198714827082462,0.292892156862745,0.143765690376569,4.19204162551859,0.489372098889532
8.59,38.6305202486324,6.78815125066575,2.20614915646637,4.88618811722449,0.0435951360931029,17.3003661953411,0.198633143254731,0.292892156862745,0.143765690376569,4.19448382882829,0.489460609058672
8.6,38.6529994592916,6.78420350316659,2.20486613852914,4.88334648388312,0.04354444407439,17.3074669860794,0.198551649389391,0.292892156862745,0.143765690376569,4.19692461101264,0.489557584758703
8.61,38.6754656044371,6.78026263527485,2.20358535646433,4.88050980256105,0.0434938698071723,17.3145570935362,0.19847034482455,0.292892156862745,0.143765690376569,4.19936397454961,0.489662991455895
8.62,38.6979187068245,6.77632862703227,2.20230680378549,4.8776780588921,0.043443412881642,17.3216365418031,0.198389228901392,0.292892156862745,0.143765690376569,4.20180192191001,0.489776794785536
8.63,38.7203587891435,6.77240145856157,2.20103047403251,4.87485123856838,0.0433930728898904,17.3287053548995,0.19830830096415,0.292892156862745,0.143765690376569,4.20423845555746,0.489898960550929
8.64,38.7427858740179,6.76848111006602,2.19975636077146,4.87202932733997,0.0433428494258974,17.3357635567725,0.198227560360096,0.292892156862745,0.143765690376569,4.20667357794847,0.490029454722394
8.65,38.7651999840063,6.76456756182899,2.19848445759442,4.86921231101464,0.0432927420855207,17.3428111712976,0.19814700643952,0.292892156862745,0.143765690376569,4.20910729153241,0.490168243436268
8.66,38.7876011416019,6.76066079421359,2.19721475811942,4.86640017545752,0.0432427504664843,17.3498482222784,0.198066638555712,0.292892156862745,0.143765690376569,4.2115395987516,0.490315292993932
